01,0000000000080000,00,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,01,0000000000080000,00,0000000000000000
02,0800001100000001,00,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,02,0800001100000001,00,0000000000000000
03,1fffffbc0000907b,00,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,03,1fffffbc0000907b,00,0000000000000000
00,0000000000000000,00,01,00,00,00,0000000000000000,00,0000000000000000,00,00,0c,00,0000000000000000,01,0000000000000000
00,0000000000000000,00,00,00,03,00,0000000000000000,00,0000000000000000,00,00,03,00,0000000000000000,01,0001000000000000
00,0000000000000000,01,05,03,00,01,0000000000000000,00,0000000000000000,00,04,00,00,0000000000000000,00,0000000000000000
00,0000000000000000,05,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,00,0000000000000000,02,0002000000000000
00,0000000000000000,00,01,00,00,00,0000000000000000,00,0000000000000000,00,00,0c,00,0000000000000000,01,0000000000002000
00,0000000000000000,00,00,00,03,00,0000000000000000,00,0000000000000000,00,00,03,00,0000000000000000,01,0001000000002000
00,0000000000000000,01,05,03,00,01,0000000000000000,00,0000000000000000,00,04,00,00,0000000000000000,00,0000000000000000
00,0000000000000000,05,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,00,0000000000000000,02,0002000000002000
02,0800002800000001,00,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,02,0800002800000001,00,0000000000000000
03,1fffff6000031ffb,00,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,03,1fffff6000031ffb,00,0000000000000000
00,0000000000000000,00,01,00,00,00,0000000000000000,00,0000000000000000,00,00,0c,00,0000000000000000,01,0000000000001000
00,0000000000000000,00,00,00,03,00,0000000000000000,00,0000000000000000,00,00,03,00,0000000000000000,01,0001000000001000
00,0000000000000000,01,05,03,00,01,0000000000000000,00,0000000000000000,00,04,00,00,0000000000000000,00,0000000000000000
00,0000000000000000,05,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,00,0000000000000000,02,0002000000001000
00,0000000000000000,00,01,00,00,00,0000000000000000,00,0000000000000000,00,00,0c,00,0000000000000000,01,0000000000003000
00,0000000000000000,00,00,00,03,00,0000000000000000,00,0000000000000000,00,00,03,00,0000000000000000,01,0001000000003000
00,0000000000000000,01,05,03,00,01,0000000000000000,00,0000000000000000,00,04,00,00,0000000000000000,00,0000000000000000
00,0000000000000000,05,00,00,00,00,0000000000000000,00,0000000000000000,00,00,00,00,0000000000000000,02,0002000000003000
